Vintage,Country,Region,Wine,Quantity,Size,Peak Drinking Window,Classification,Wine Rating,Professional Critic Ratings,Wine Notes,Varietal,Alcohol Level,Flavour Profile,Recommended Service Temp
2010,Spain,Rioja,R. Lopez de Heredia Vina Tondonia Reserva,3,750ml,2022-2045,Reserva,4,JS 97 : RP 96 : WE 96 : TA 94,"Complex and savoury with depth of black plum and blue fruit over orange rind, iron, tobacco and earthy spices. Cedar and truffle expected to develop. Juicy, zesty and tight with dusty tannins and bright berry fruit on the medium-to-full-bodied palate.",Tempranillo : Garnacha : Graciano : Mazuelo,13%,Forest floor : Wild berries : Tobacco : Cedar : Orange rind : Iron,16-18°C
2011,Italy,Piedmont,"Barolo: Massolino, Margheria",1,Magnum,2025-2045,DOCG,4,AG 93 : WS 93 : WE 93 : JS 92,"A racy Barolo with dark red and black cherries, smoke, tobacco, licorice, new leather and cloves. The rich, boisterous personality of the year comes through in a relatively fleshy, opulent Serralunga Barolo.",Nebbiolo,14.5%,Dark cherry : Smoke : Tobacco : Licorice : Leather : Clove,18-20°C
2012,Italy,Piedmont,"Barolo: Luciano Sandrone, Le Vigne",1,Magnum,2025-2050,DOCG,5,JS 97 : AG 96 : RP 95 : WS 95,"Silky and refined with layers of dark cherry, tar, rose petal and spice. Wonderfully integrated tannins and exceptional length. A towering example of the vintage.",Nebbiolo,14.5%,Dark cherry : Tar : Rose petal : Spice : Liquorice : Mineral,18-20°C
2013,Italy,Piedmont,"Barbaresco: Fiorenzo Nada, Montaribaldi",2,750ml,2025-2040,DOCG,3,JS 93 : AG 92 : RP 91,"Elegant Barbaresco with red cherry, dried herbs, rose petal and subtle earthy tones. Fine-grained tannins and good acidity give this wine excellent structure and balance.",Nebbiolo,14%,Red cherry : Dried herbs : Rose petal : Earth : Violet : Spice,18-20°C
2013,Italy,Piedmont,"Barolo: Giacomo Fenocchio, Bussia",3,750ml,2025-2045,DOCG Riserva,4,JS 95 : AG 94 : RP 93,"Powerful and structured Riserva from the Bussia cru with dark fruit, tar, leather and balsamic notes. Dense tannins and remarkable concentration suggest considerable ageing potential.",Nebbiolo,14.5%,Dark fruit : Tar : Leather : Balsamic : Tobacco : Mineral,18-20°C
2013,Italy,Piedmont,"Barolo: Luigi Pira, Vigna Rionda",1,750ml,2025-2048,DOCG,5,JS 96 : AG 95 : RP 94,"Profound Barolo from the legendary Vigna Rionda vineyard with intense dark fruit, crushed rock, liquorice and floral aromas. Monumental structure and tannins with exceptional length.",Nebbiolo,14.5%,Dark fruit : Crushed rock : Liquorice : Violet : Tar : Iron,18-20°C
2014,Italy,Piedmont,"Barolo: GD Vajra, Ravera",6,750ml,2026-2046,DOCG,4,JS 95 : AG 94 : RP 93 : WS 93,"Refined and elegant from the Ravera cru in Novello. Red cherry, wild strawberry, rose and mint with chalky, persistent tannins. A transparent expression of site.",Nebbiolo,14%,Red cherry : Wild strawberry : Rose : Mint : Chalk : Herbs,18-20°C
2015,Italy,Piedmont,"Barbaresco: Produttori del Barbaresco, Riserva Asili",4,750ml,2027-2050,DOCG Riserva,4,AG 96 : JS 95 : RP 95 : WS 94,"Asili delivers a Barbaresco of outstanding purity with red cherry, rose, spice and a mineral core. Silky tannins frame the wine beautifully with exceptional finesse and length.",Nebbiolo,14.5%,Red cherry : Rose : Spice : Mineral : Tar : Dried herb,18-20°C
2015,Italy,Piedmont,"Barolo: Oddero, Rocche di Castiglione",2,750ml,2027-2050,DOCG,4,JS 95 : AG 94 : RP 93,"Classically proportioned Barolo with dark cherry, dried flowers, tobacco and earthy spice. Firm, fine-grained tannins provide excellent backbone with a long, savoury finish.",Nebbiolo,14.5%,Dark cherry : Dried flowers : Tobacco : Earth : Spice : Liquorice,18-20°C
2015,Italy,Tuscany,Poggio di Sotto Brunello di Montalcino,6,750ml,2025-2050,DOCG,5,AG 97 : JS 96 : RP 96 : WS 95,"Ethereal Brunello with layers of red cherry, crushed flowers, spice and mineral. Translucent purity and remarkable depth with polished tannins and vibrant acidity.",Sangiovese,14%,Red cherry : Crushed flowers : Spice : Mineral : Blood orange : Earth,16-18°C
